,Buy&Hold,MACD_gc + TR12,MA10/20 + TR12
2024-09,2.0126203916077,-0.2557088811024011,-1.7699772120627344
2024-10,-0.6214682351916023,-0.9951370640279622,-0.6985623837380106
2024-11,-3.8616309344659427,-1.6312019364840058,-0.7085622838069794
2024-12,4.05517844085892,-0.34318167918991893,-0.6012189871515083
2025-01,8.059241395955397,4.950676616989735,5.387790155581951
2025-02,5.233798270920165,2.317614551682934,0.8451127855442886
2025-03,-6.384396232040901,-2.119174281578895,-3.152711017093679
2025-04,8.895890947749741,3.6538244775840667,1.5554012068405898
2025-05,7.568157134903153,4.04021556826919,5.033331878764757
2025-06,12.234324333074342,6.800451797537566,9.57459453095284
2025-07,0.7885481683601592,1.561901022662493,1.1080337852522382
2025-08,-4.109336004679687,-1.1235642266053891,-1.9601716196771313
