final,ret_pct,mdd_pct,trades,reached,reach_date,reach_days,ticker,entry,exit,name
8138537.312539019,713.8537312539019,-20.402436052281917,9,True,2024-09-20,50,019490,1|MA_cross,SL10+TR8,엑시큐어하이트론
7482497.440718225,648.2497440718225,-15.723665879991788,7,True,2024-09-20,50,019490,1|MA_cross,TR12,엑시큐어하이트론
6530090.506136464,553.0090506136464,-11.129853479853484,4,True,2024-09-20,50,019490,1|Boll_breakout,SL10+TR8,엑시큐어하이트론
6322186.796769958,532.2186796769957,-10.866910866910867,3,True,2024-09-20,50,019490,1|Boll_breakout,TR12,엑시큐어하이트론
4359255.239618983,335.92552396189836,-25.55975731069216,3,True,2024-09-20,50,019490,1|Boll_breakout,SL10+<SMA20,엑시큐어하이트론
3924537.0241613216,292.45370241613216,-28.390555962071485,8,True,2024-09-20,50,019490,1|MACD_gc,SL10+TR8,엑시큐어하이트론
3179747.8155042967,217.9747815504297,-40.47715662730689,8,True,2024-09-20,50,019490,1|MACD_gc,TR12,엑시큐어하이트론
5268635.795662333,426.8635795662333,-20.75666118170203,6,True,2024-11-19,110,019490,1|MA_cross,SL10+TR8,엑시큐어하이트론
4787038.968504888,378.7038968504888,-26.8947076402863,5,True,2024-11-19,110,019490,1|MA_cross,TR12,엑시큐어하이트론
5606703.166702229,460.67031667022286,-42.461644416425415,31,True,2024-12-13,134,065500,1|Momentum,TP20+SL8,오리엔트정공
5583741.126724881,458.3741126724881,-44.32001159602798,32,True,2024-12-13,134,065500,1|Momentum,SL10+<SMA20,오리엔트정공
5403398.099120788,440.3398099120788,-43.39845433491191,40,True,2024-12-13,134,065500,1|Momentum,TP15+SL6+HOLD15,오리엔트정공
5268312.832576872,426.83128325768723,-48.53239339391798,16,True,2024-12-13,134,065500,1|Momentum,TP30+SL10,오리엔트정공
5164898.483874844,416.4898483874844,-45.89677976195121,51,True,2024-12-13,134,065500,1|Momentum,SL10+TR8,오리엔트정공
4984354.684311862,398.4354684311862,-21.74105429114776,4,True,2024-12-13,134,065500,1|Breakout,TR12,오리엔트정공
4984354.684311862,398.4354684311862,-21.74105429114776,4,True,2024-12-13,134,065500,1|Breakout,TR12,오리엔트정공
4933497.769018665,393.34977690186645,-50.60180437481166,32,True,2024-12-13,134,065500,1|Momentum,TR12,오리엔트정공
4589847.31073916,358.98473107391595,-23.670325796847056,5,True,2024-12-13,134,065500,1|Breakout,TR12,오리엔트정공
4589847.31073916,358.98473107391595,-23.670325796847056,5,True,2024-12-13,134,065500,2|Breakout&Momentum,TR12,오리엔트정공
4293367.708063811,329.3367708063811,-26.344521685786106,12,True,2024-12-13,134,065500,1|Breakout,TP20+SL8,오리엔트정공
4293367.708063811,329.3367708063811,-26.344521685786106,12,True,2024-12-13,134,065500,2|Breakout&Momentum,TP20+SL8,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MA_cross&Breakout,TR12,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MA_cross&Breakout,SL10+TR8,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MA_cross&MACD_gc,TR12,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MA_cross&MACD_gc,SL10+TR8,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MA_cross&Boll_breakout,TR12,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MA_cross&Boll_breakout,SL10+TR8,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MA_cross&Momentum,TR12,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MA_cross&Momentum,SL10+TR8,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|Breakout&MACD_gc,TR12,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|Breakout&MACD_gc,SL10+TR8,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MACD_gc&Boll_breakout,TR12,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MACD_gc&Boll_breakout,SL10+TR8,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MACD_gc&Momentum,TR12,오리엔트정공
3963293.5694407634,296.3293569440764,-12.944141791044784,1,True,2024-12-13,134,065500,2|MACD_gc&Momentum,SL10+TR8,오리엔트정공
3856838.3249377343,285.6838324937734,-28.537068441150147,5,True,2024-12-13,134,065500,1|Breakout,SL10+TR8,오리엔트정공
3856838.3249377343,285.6838324937734,-28.537068441150147,5,True,2024-12-13,134,065500,1|Breakout,SL10+TR8,오리엔트정공
3847303.530602636,284.73035306026355,-26.344521685786116,12,True,2024-12-13,134,065500,1|Breakout,TP20+SL8,오리엔트정공
3847303.530602636,284.73035306026355,-26.344521685786116,12,True,2024-12-13,134,065500,1|Breakout,TP15+SL6+HOLD15,오리엔트정공
3847303.530602636,284.73035306026355,-26.344521685786116,12,True,2024-12-13,134,065500,1|Breakout,TP20+SL8,오리엔트정공
3847303.530602636,284.73035306026355,-26.344521685786116,12,True,2024-12-13,134,065500,1|Breakout,TP15+SL6+HOLD15,오리엔트정공
3752359.432212886,275.2359432212886,-30.472946310819673,5,True,2024-12-13,134,065500,2|Breakout&Boll_breakout,SL10+TR8,오리엔트정공
3752359.432212886,275.2359432212886,-30.472946310819673,5,True,2024-12-13,134,065500,2|Boll_breakout&Momentum,SL10+TR8,오리엔트정공
3739723.16295949,273.972316295949,-25.671641791044774,1,True,2024-12-13,134,065500,2|MA_cross&Breakout,SL10+<SMA20,오리엔트정공
3739723.16295949,273.972316295949,-25.671641791044774,1,True,2024-12-13,134,065500,2|MA_cross&MACD_gc,SL10+<SMA20,오리엔트정공
3739723.16295949,273.972316295949,-25.671641791044774,1,True,2024-12-13,134,065500,2|MA_cross&Boll_breakout,SL10+<SMA20,오리엔트정공
3739723.16295949,273.972316295949,-25.671641791044774,1,True,2024-12-13,134,065500,2|MA_cross&Momentum,SL10+<SMA20,오리엔트정공
3739723.16295949,273.972316295949,-25.671641791044774,1,True,2024-12-13,134,065500,2|Breakout&MACD_gc,SL10+<SMA20,오리엔트정공
3739723.16295949,273.972316295949,-25.671641791044774,1,True,2024-12-13,134,065500,2|MACD_gc&Boll_breakout,SL10+<SMA20,오리엔트정공
3739723.16295949,273.972316295949,-25.671641791044774,1,True,2024-12-13,134,065500,2|MACD_gc&Momentum,SL10+<SMA20,오리엔트정공
3666164.3457148876,266.61643457148875,-32.070045553297014,5,True,2024-12-13,134,065500,2|Breakout&Boll_breakout,TR12,오리엔트정공
3666164.3457148876,266.61643457148875,-32.070045553297014,5,True,2024-12-13,134,065500,2|Boll_breakout&Momentum,TR12,오리엔트정공
3635073.8287889585,263.50738287889584,-32.64611830927461,6,True,2024-12-13,134,065500,1|Breakout,SL10+TR8,오리엔트정공
3635073.8287889585,263.50738287889584,-32.64611830927461,6,True,2024-12-13,134,065500,2|Breakout&Momentum,SL10+TR8,오리엔트정공
3542792.7749832077,254.27927749832077,-26.34452168578611,13,True,2024-12-13,134,065500,1|Breakout,TP15+SL6+HOLD15,오리엔트정공
3542792.7749832077,254.27927749832077,-26.34452168578611,13,True,2024-12-13,134,065500,2|Breakout&Momentum,TP15+SL6+HOLD15,오리엔트정공
3328332.9150165683,232.83329150165684,-22.586605497842317,3,True,2024-12-13,134,065500,1|MACD_gc,TR12,오리엔트정공
3317682.321198533,231.76823211985328,-20.032640697870058,4,True,2024-12-13,134,065500,1|MACD_gc,SL10+TR8,오리엔트정공
3201972.193319428,220.19721933194276,-43.41781678841221,4,True,2024-12-13,134,065500,1|Breakout,SL10+<SMA20,오리엔트정공
3201972.193319428,220.19721933194276,-43.41781678841221,4,True,2024-12-13,134,065500,2|Breakout&Boll_breakout,SL10+<SMA20,오리엔트정공
3201972.193319428,220.19721933194276,-43.41781678841221,4,True,2024-12-13,134,065500,2|Breakout&Momentum,SL10+<SMA20,오리엔트정공
3201972.193319428,220.19721933194276,-43.41781678841221,4,True,2024-12-13,134,065500,2|Boll_breakout&Momentum,SL10+<SMA20,오리엔트정공
2943487.962106438,194.34879621064377,-40.0528711929808,8,True,2024-12-13,134,065500,1|Breakout,TP30+SL10,오리엔트정공
2943487.962106438,194.34879621064377,-40.0528711929808,8,True,2024-12-13,134,065500,2|Breakout&Momentum,TP30+SL10,오리엔트정공
2869299.7576498776,186.92997576498777,-43.4178167884122,4,True,2024-12-13,134,065500,1|Breakout,SL10+<SMA20,오리엔트정공
2869299.7576498776,186.92997576498777,-43.4178167884122,4,True,2024-12-13,134,065500,1|Breakout,SL10+<SMA20,오리엔트정공
2802525.470414651,180.2525470414651,-40.51932565059654,8,True,2024-12-13,134,065500,1|Breakout,TP30+SL10,오리엔트정공
2802525.470414651,180.2525470414651,-40.51932565059654,8,True,2024-12-13,134,065500,1|Breakout,TP30+SL10,오리엔트정공
4005093.2695675604,300.50932695675607,-37.796803561246165,7,True,2025-01-02,154,065500,1|Momentum,SL10+<SMA20,오리엔트정공
3771621.8405132513,277.1621840513251,-38.968914113500745,21,True,2025-01-02,154,065500,1|Momentum,TR12,오리엔트정공
3555709.415447941,255.57094154479412,-40.29787144152,36,True,2025-01-02,154,065500,1|Momentum,SL10+TR8,오리엔트정공
3226737.036698895,222.6737036698895,-37.69286331298294,13,True,2025-01-02,154,065500,1|Momentum,TP30+SL10,오리엔트정공
3167993.7013602913,216.79937013602913,-25.671641791044774,4,True,2025-01-02,154,065500,1|MACD_gc,SL10+<SMA20,오리엔트정공
2243466.0783743183,124.34660783743183,-61.44598728316579,5,True,2025-01-03,155,062970,1|MA_cross,SL10+<SMA20,한국첨단소재
3542324.4365902436,254.23244365902437,-14.234546424759861,6,True,2025-01-07,159,062970,1|Breakout,TP20+SL8,한국첨단소재
3542324.4365902436,254.23244365902437,-14.234546424759861,6,True,2025-01-07,159,062970,1|Breakout,TP15+SL6+HOLD15,한국첨단소재
3303319.537067332,230.3319537067332,-20.02124495597019,7,True,2025-01-07,159,062970,2|Breakout&Momentum,TP15+SL6+HOLD15,한국첨단소재
3233832.23288954,223.383223288954,-21.703645952042017,7,True,2025-01-07,159,062970,2|Breakout&Momentum,TP20+SL8,한국첨단소재
2856893.7609389843,185.68937609389843,-52.59621943104919,9,True,2025-01-07,159,062970,1|Momentum,SL10+<SMA20,한국첨단소재
2837691.9618444205,183.76919618444205,-52.59621943104919,9,True,2025-01-07,159,062970,1|Momentum,SL10+<SMA20,한국첨단소재
2822651.7727720495,182.26517727720494,-32.21762540021346,4,True,2025-01-07,159,062970,1|Breakout,TP30+SL10,한국첨단소재
2470353.32054903,147.03533205490297,-40.67762244620195,5,True,2025-01-07,159,062970,2|Breakout&Momentum,TP30+SL10,한국첨단소재
2386577.282798947,138.65772827989468,-52.790359814825194,9,True,2025-01-07,159,062970,1|Momentum,TP30+SL10,한국첨단소재
2370536.5821839916,137.05365821839916,-52.790359814825194,9,True,2025-01-07,159,062970,1|Momentum,TP30+SL10,한국첨단소재
2000781.1888786887,100.07811888786887,-52.54169690501601,1,True,2025-01-07,159,062970,1|Breakout,SL10+<SMA20,한국첨단소재
1833555.3026741454,83.35553026741454,-59.02312607728497,3,True,2025-01-07,159,062970,1|Boll_breakout,SL10+<SMA20,한국첨단소재
1833555.3026741454,83.35553026741454,-59.02312607728497,3,True,2025-01-07,159,062970,1|Boll_breakout,SL10+<SMA20,한국첨단소재
1798617.8558382827,79.86178558382828,-60.87616353302542,6,True,2025-01-07,159,062970,1|MA_cross,SL10+<SMA20,한국첨단소재
1760595.2699716836,76.05952699716836,-58.23887968641962,2,True,2025-01-07,159,062970,1|MA_cross,SL10+<SMA20,한국첨단소재
1751061.360567505,75.1061360567505,-58.465022937215174,2,True,2025-01-07,159,062970,2|Breakout&Momentum,SL10+<SMA20,한국첨단소재
1751061.360567505,75.1061360567505,-58.465022937215174,2,True,2025-01-07,159,062970,2|Boll_breakout&Momentum,SL10+<SMA20,한국첨단소재
3414372.3372062296,241.43723372062294,-27.28224786173792,14,True,2025-02-03,186,160190,1|RSI_dip,SL10+<SMA20,하이젠알앤엠
2376090.69992364,137.609069992364,-40.77268425883133,7,True,2025-02-04,187,160190,1|MA_cross,SL10+<SMA20,하이젠알앤엠
6292549.934633136,529.2549934633136,-18.273706963614895,4,True,2025-02-11,194,082270,1|MACD_gc,TR12,젬백스
4966868.670249364,396.6868670249364,-19.213089642194035,4,True,2025-02-17,200,082270,1|MA_cross,TR12,젬백스
3915882.823415863,291.5882823415863,-24.27956443912906,4,True,2025-02-24,207,082270,1|MA_cross,TR12,젬백스
6019182.827933669,501.91828279336687,-16.513252330969333,4,True,2025-03-05,216,082270,1|Boll_breakout,TR12,젬백스
5415483.655589188,441.5483655589188,-16.513252330969333,4,True,2025-03-07,218,082270,1|Breakout,TR12,젬백스
5415483.655589188,441.5483655589188,-16.513252330969333,4,True,2025-03-07,218,082270,1|Boll_breakout,TR12,젬백스
3627428.872224145,262.7428872224145,-32.54408133971292,4,True,2025-03-10,221,065500,1|MA_cross,SL10+<SMA20,오리엔트정공
3710214.233133143,271.02142331331424,-37.70365875128404,25,True,2025-03-14,225,065500,1|Momentum,TP20+SL8,오리엔트정공
3679886.38075995,267.988638075995,-37.95879105197207,27,True,2025-03-14,225,065500,1|Momentum,TP15+SL6+HOLD15,오리엔트정공
4139792.654174895,313.97926541748944,-42.46164441642544,33,True,2025-03-17,228,065500,1|Momentum,TP20+SL8,오리엔트정공
4122838.2905146913,312.2838290514691,-44.32001159602799,34,True,2025-03-17,228,065500,1|Momentum,SL10+<SMA20,오리엔트정공
