date,S&P500,나스닥,반도체(SOXX),헬스케어(XLV),기술주(XLK),금융(XLF),에너지(XLE),중소형주(IWM)
2026-01-26,0.03,0.28,-1.14,-0.51,0.14,-1.38,0.57,-1.85
2026-01-25,0.03,0.28,-1.14,-0.51,0.14,-1.38,0.57,-1.85
2026-01-25,0.03,0.28,-1.14,-0.51,0.14,-1.38,0.57,-1.85
